frame_idx,timestamp_sec,x_pixel,y_pixel,x_mm,delta_x_mm,cell_number
0,0.0,,,,,-1
1,0.0445,37.1,142.1,3.5289,,36
2,0.0891,45.7,119.4,3.4783,-0.0506,35
3,0.1336,286.4,171.3,2.0621,-1.4162,21
4,0.1781,384.4,191.5,1.486,-0.5762,15
5,0.2227,276.1,135.5,2.1228,0.6368,22
6,0.2672,406.3,252.4,1.357,-0.7658,14
7,0.3117,479.9,305.1,0.9244,-0.4325,10
8,0.3563,510.2,286.0,0.7457,-0.1787,8
9,0.4008,558.3,336.1,0.4629,-0.2828,5
10,0.4453,588.4,359.2,0.2857,-0.1772,3
11,0.4899,602.5,370.1,0.2032,-0.0825,3
12,0.5344,497.4,290.3,0.8212,0.618,9
13,0.5789,534.1,325.0,0.6053,-0.2159,7
14,0.6235,561.3,351.8,0.4452,-0.1601,5
15,0.668,579.9,370.3,0.3357,-0.1095,4
16,0.7125,593.8,384.8,0.254,-0.0817,3
17,0.7571,611.0,405.1,0.1531,-0.1008,2
18,0.8016,617.3,410.1,0.1158,-0.0373,2
19,0.8461,468.6,312.2,0.9907,0.8748,10
20,0.8907,431.7,263.2,1.2078,0.2171,13
21,0.9352,327.3,215.3,1.8218,0.614,19
22,0.9797,383.9,181.4,1.4889,-0.3329,15
23,1.0243,383.2,166.1,1.4932,0.0043,15
24,1.0688,298.5,154.9,1.9913,0.4981,20
25,1.1133,293.3,150.3,2.022,0.0307,-1
26,1.1579,294.8,138.8,2.013,-0.009,21
27,1.2024,355.1,161.8,1.6582,-0.3548,17
28,1.2469,267.8,243.7,2.1715,0.5133,22
29,1.2915,196.5,209.6,2.5909,0.4194,26
30,1.336,149.0,189.7,2.8708,0.2799,29
31,1.3805,101.9,164.1,3.1478,0.277,32
32,1.4251,210.0,228.1,2.5119,-0.6359,26
33,1.4696,303.9,291.3,1.9593,-0.5526,20
34,1.5141,388.9,238.7,1.4597,-0.4996,15
35,1.5587,424.6,246.6,1.2497,-0.21,13
36,1.6032,470.9,303.7,0.9772,-0.2725,10
37,1.6477,475.8,307.0,0.9481,-0.0291,-1
38,1.6923,361.3,254.5,1.6216,0.6735,17
